"Notes","Year","Year Code","Sex","Sex Code","Ten-Year Age Groups","Ten-Year Age Groups Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Crude Rate Standard Error,% of Total Deaths
,"2001","2001","Female","F","85+ years","85+",986,3051430,32.3,30.3,34.3,1.0,0.2%
,"2001","2001","Female","F","Not Stated","NS",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0%
,"2001","2001","Male","M","< 1 year","1",Suppressed,2049753,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,"2001","2001","Male","M","1-4 years","1-4",Suppressed,7817023,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,"2001","2001","Male","M","5-14 years","5-14",48,21076273,0.2,0.2,0.3,0.0,0.0%
,"2001","2001","Male","M","15-24 years","15-24",91,20627723,0.4,0.4,0.5,0.0,0.0%
,"2001","2001","Male","M","25-34 years","25-34",137,19904479,0.7,0.6,0.8,0.1,0.0%
,"2001","2001","Male","M","35-44 years","35-44",322,22409323,1.4,1.3,1.6,0.1,0.1%
,"2001","2001","Male","M","45-54 years","45-54",878,19339187,4.5,4.2,4.8,0.2,0.2%
,"2001","2001","Male","M","55-64 years","55-64",1662,12061729,13.8,13.1,14.4,0.3,0.4%
,"2001","2001","Male","M","65-74 years","65-74",2637,8341053,31.6,30.4,32.8,0.6,0.6%
,"2001","2001","Male","M","75-84 years","75-84",2528,5003885,50.5,48.6,52.5,1.0,0.6%
,"2001","2001","Male","M","85+ years","85+",852,1261064,67.6,63.0,72.1,2.3,0.2%
,"2001","2001","Male","M","Not Stated","NS",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0%
,"2002","2002","Female","F","< 1 year","1",Suppressed,1932939,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,"2002","2002","Female","F","1-4 years","1-4",12,7564711,Unreliable,0.1,0.3,0.0,0.0%
,"2002","2002","Female","F","5-14 years","5-14",40,20071157,0.2,0.1,0.3,0.0,0.0%
,"2002","2002","Female","F","15-24 years","15-24",62,19898124,0.3,0.2,0.4,0.0,0.0%
