specification,wald_chi2,df,p_value,pearson_dispersion,cancer_1999_pct,cancer_2024_pct,noncancer_1999_pct,noncancer_2024_pct,differential_change_pp,lcl,ucl
3-df spline,521.7023784972689,3,9.446032975071767e-113,14.46805480999037,2.9866150260434314,4.861642799816856,6.7107933816395455,7.955819779969298,0.6300013754436729,0.41718525633795445,0.8428174945493913
Primary 4-df spline,525.1284420922291,4,2.4586352772008007e-112,14.40200627148642,2.953246708505804,4.810651406078123,6.665314834413255,7.910229685783089,0.6124898462024853,0.3948868610040501,0.8300928314009203
5-df spline,522.6680403618248,5,1.0202936592504432e-110,14.469609790572246,2.970074845447076,4.812467501821691,6.652184275725539,7.94867488308787,0.5459020490122847,0.300513797575736,0.7912903004488334
Linear time,316.89581767419514,1,6.8717842094493776e-71,18.444501365606044,2.7437553322059527,4.735350512119655,6.99581553338081,8.380451054844992,0.6069596584495216,0.4382066168027031,0.7757127000963401
