"Notes","Year","Year Code","Sex","Sex Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Crude Rate Standard Error,% of Total Deaths
,"2018","2018","Female","F",402,29778412,1.3,1.2,1.5,0.1,7.1%
,"2018","2018","Male","M",411,31107032,1.3,1.2,1.4,0.1,7.2%
"Total","2018","2018",,,813,60885444,1.3,1.2,1.4,0.0,14.3%
,"2019","2019","Female","F",410,29620616,1.4,1.3,1.5,0.1,7.2%
,"2019","2019","Male","M",366,30950230,1.2,1.1,1.3,0.1,6.4%
"Total","2019","2019",,,776,60570846,1.3,1.2,1.4,0.0,13.6%
,"2020","2020","Female","F",321,29490548,1.1,1.0,1.2,0.1,5.6%
,"2020","2020","Male","M",400,30802878,1.3,1.2,1.4,0.1,7.0%
"Total","2020","2020",,,721,60293426,1.2,1.1,1.3,0.0,12.7%
,"2021","2021","Female","F",313,29577937,1.1,0.9,1.2,0.1,5.5%
,"2021","2021","Male","M",408,30988733,1.3,1.2,1.4,0.1,7.2%
"Total","2021","2021",,,721,60566670,1.2,1.1,1.3,0.0,12.7%
,"2022","2022","Female","F",421,29028493,1.5,1.3,1.6,0.1,7.4%
,"2022","2022","Male","M",469,30408894,1.5,1.4,1.7,0.1,8.2%
"Total","2022","2022",,,890,59437387,1.5,1.4,1.6,0.1,15.6%
,"2023","2023","Female","F",429,29066444,1.5,1.3,1.6,0.1,7.5%
,"2023","2023","Male","M",496,30432037,1.6,1.5,1.8,0.1,8.7%
"Total","2023","2023",,,925,59498481,1.6,1.5,1.7,0.1,16.3%
,"2024 ","2024","Female","F",375,29176307,1.3,1.2,1.4,0.1,6.6%
,"2024 ","2024","Male","M",467,30521833,1.5,1.4,1.7,0.1,8.2%
"Total","2024 ","2024",,,842,59698140,1.4,1.3,1.5,0.0,14.8%
"Total",,,,,5688,420950394,1.4,1.3,1.4,0.0,100.0%
"---"
"Dataset: Multiple Cause of Death, 2018-2024, Single Race"
"Query Parameters:"
"MCD - ICD-10 Codes: A40.0 (Septicaemia due to streptococcus, group A); A40.1 (Septicaemia due to streptococcus, group B); A40.2"
"(Septicaemia due to streptococcus, group D); A40.3 (Septicaemia due to Streptococcus pneumoniae); A40.8 (Other streptococcal"
"septicaemia); A40.9 (Streptococcal septicaemia, unspecified); A41.0 (Septicaemia due to Staphylococcus aureus); A41.1"
"(Septicaemia due to other specified staphylococcus); A41.2 (Septicaemia due to unspecified staphylococcus); A41.3 (Septicaemia"
"due to Haemophilus influenzae); A41.4 (Septicaemia due to anaerobes); A41.5 (Septicaemia due to other Gram-negative organisms);"
"A41.8 (Other specified septicaemia); A41.9 (Septicaemia, unspecified)"
"Ten-Year Age Groups: < 1 year; 1-4 years; 5-14 years"
"Group By: Year; Sex"
"Show Totals: True"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 100,000"
"Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups)"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/mcd-expanded.html for more information."
"---"
"Query Date: Aug 13, 2026 5:11:56 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Mortality 2018-2024 on CDC WONDER Online Database, released in 2026. Data are from the Multiple Cause of Death Files,"
"2018-2024, as compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative"
"Program. Accessed at http://wonder.cdc.gov/mcd-icd10-expanded.html on Aug 13, 2026 5:11:56 PM"
"---"
Caveats:
"1. Deaths of persons with Age ""Not Stated"" are included in ""All"" counts and rates, but are not distributed among age groups,"
"so are not included in age-specific counts, age-specific rates or in any age-adjusted rates. More information:"
"http://wonder.cdc.gov/wonder/help/mcd-expanded.html#Not Stated."
"2. The method used to calculate 95% confidence intervals is documented here: More information:"
"http://wonder.cdc.gov/wonder/help/mcd-expanded.html#Confidence-Intervals."
"3. The method used to calculate standard errors is documented here: More information:"
"http://wonder.cdc.gov/wonder/help/mcd-expanded.html#Standard-Errors."
