"Notes","Sex","Sex Code","Year","Year Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Crude Rate Standard Error,% of Total Deaths
,"Female","F","2018","2018",22,50772757,0.0,0.0,0.1,0.0,6.0%
,"Female","F","2019","2019",27,50497767,0.1,0.0,0.1,0.0,7.4%
,"Female","F","2020","2020",31,50318789,0.1,0.0,0.1,0.0,8.5%
,"Female","F","2021","2021",19,50670386,0.0,0.0,0.1,0.0,5.2%
,"Female","F","2022","2022",19,50686033,0.0,0.0,0.1,0.0,5.2%
,"Female","F","2023","2023",22,50529650,0.0,0.0,0.1,0.0,6.0%
,"Female","F","2024 ","2024",22,51060484,0.0,0.0,0.1,0.0,6.0%
"Total","Female","F",,,162,354535866,0.0,0.0,0.1,0.0,44.3%
,"Male","M","2018","2018",25,53083487,0.0,0.0,0.1,0.0,6.8%
,"Male","M","2019","2019",34,52760589,0.1,0.0,0.1,0.0,9.3%
,"Male","M","2020","2020",24,52530321,0.0,0.0,0.1,0.0,6.6%
,"Male","M","2021","2021",31,52984947,0.1,0.0,0.1,0.0,8.5%
,"Male","M","2022","2022",25,53092925,0.0,0.0,0.1,0.0,6.8%
,"Male","M","2023","2023",32,52855483,0.1,0.0,0.1,0.0,8.7%
,"Male","M","2024 ","2024",33,53435417,0.1,0.0,0.1,0.0,9.0%
"Total","Male","M",,,204,370743169,0.1,0.0,0.1,0.0,55.7%
"Total",,,,,366,725279035,0.1,0.0,0.1,0.0,100.0%
"---"
"Dataset: Multiple Cause of Death, 2018-2024, Single Race"
"Query Parameters:"
"MCD - ICD-10 Codes: A40.0 (Septicaemia due to streptococcus, group A); A40.1 (Septicaemia due to streptococcus, group B); A40.2"
"(Septicaemia due to streptococcus, group D); A40.3 (Septicaemia due to Streptococcus pneumoniae); A40.8 (Other streptococcal"
"septicaemia); A40.9 (Streptococcal septicaemia, unspecified); A41.0 (Septicaemia due to Staphylococcus aureus); A41.1"
"(Septicaemia due to other specified staphylococcus); A41.2 (Septicaemia due to unspecified staphylococcus); A41.3 (Septicaemia"
"due to Haemophilus influenzae); A41.4 (Septicaemia due to anaerobes); A41.5 (Septicaemia due to other Gram-negative organisms);"
"A41.8 (Other specified septicaemia); A41.9 (Septicaemia, unspecified)"
"Ten-Year Age Groups: < 1 year; 1-4 years; 5-14 years; 15-24 years"
"UCD - ICD-10 Codes: C00.0 (External upper lip - Malignant neoplasms); C00.1 (External lower lip - Malignant neoplasms); C00.2"
"(External lip, unspecified - Malignant neoplasms); C00.3 (Upper lip, inner aspect - Malignant neoplasms); C00.4 (Lower lip,"
"inner aspect - Malignant neoplasms); C00.5 (Lip, unspecified, inner aspect - Malignant neoplasms); C00.6 (Commissure of lip -"
"Malignant neoplasms); C00.8 (Overlapping lesion of lip - Malignant neoplasms); C00.9 (Lip, unspecified - Malignant neoplasms);"
"C01 (Malignant neoplasm of base of tongue); C02.0 (Dorsal surface of tongue - Malignant neoplasms); C02.1 (Border of tongue -"
"Malignant neoplasms); C02.2 (Ventral surface of tongue - Malignant neoplasms); C02.3 (Anterior two-thirds of tongue, part"
"unspecified - Malignant neoplasms); C02.4 (Lingual tonsil - Malignant neoplasms); C02.8 (Overlapping lesion of tongue -"
"Malignant neoplasms); C02.9 (Tongue, unspecified - Malignant neoplasms); C03.0 (Upper gum - Malignant neoplasms); C03.1 (Lower"
"gum - Malignant neoplasms); C03.9 (Gum, unspecified - Malignant neoplasms); C04.0 (Anterior floor of mouth - Malignant"
"neoplasms); C04.1 (Lateral floor of mouth - Malignant neoplasms); C04.8 (Overlapping lesion of floor of mouth - Malignant"
"neoplasms); C04.9 (Floor of mouth, unspecified - Malignant neoplasms); C05.0 (Hard palate - Malignant neoplasms); C05.1 (Soft"
"palate - Malignant neoplasms); C05.2 (Uvula - Malignant neoplasms); C05.8 (Overlapping lesion of palate - Malignant neoplasms);"
