reference,cancer_1999_pct,cancer_2024_pct,cancer_change_pp,noncancer_1999_pct,noncancer_2024_pct,noncancer_change_pp,differential_change_pp,ratio_2024
Pooled 1999-2024,3.2120308970661515,4.694073402721644,1.4820425056554918,6.747455608825062,7.893509013391038,1.1460534045659763,0.33598910108951563,0.5946751178415488
1999,3.2397966147633586,4.701693705058091,1.4618970902947324,6.751880615067379,7.9168810025597365,1.165000387492357,0.2968967028023753,0.5938820734501263
2010,3.2015470521781206,4.661230266691367,1.4596832145132466,6.735716047289583,7.843223977295052,1.107507930005469,0.35217528450777746,0.5943002877623952
2019,3.189428762817344,4.6837833931083415,1.4943546302909976,6.752955178625293,7.922645491272497,1.1696903126472036,0.3246643176437941,0.5911893190561093
