group,age_group,sex,1999_pct,2024_pct,absolute_change_pp
cancer,0-14,F,9.117647058823529,4.519774011299435,-4.597873047524094
noncancer,0-14,F,3.584883447139157,2.7391915092867176,-0.8456919378524392
cancer,0-14,M,9.902200488997554,6.907378335949764,-2.994822153047791
noncancer,0-14,M,3.413321372505046,2.6686013500725507,-0.7447200224324952
cancer,15-24,F,10.556348074179743,7.650273224043716,-2.906074850136027
noncancer,15-24,F,3.9252088582416125,3.2771535580524342,-0.6480553001891786
cancer,15-24,M,10.068426197458455,8.600917431192661,-1.4675087662657946
noncancer,15-24,M,1.3229863026506476,1.3012917933130699,-0.021694509337577723
cancer,25-34,F,5.913978494623656,9.143457698370995,3.2294792037473377
noncancer,25-34,F,6.794489947877885,4.976101617233026,-1.8183883306448594
cancer,25-34,M,6.074527820316488,8.656036446469248,2.5815086261527598
noncancer,25-34,M,3.229851426834365,2.959249260830441,-0.2706021660039245
cancer,35-44,F,3.952057013281503,7.331378299120235,3.3793212858387323
noncancer,35-44,F,8.226603138523409,7.777943257130092,-0.44865988139331653
cancer,35-44,M,4.309998661491099,7.014106583072101,2.7041079215810018
noncancer,35-44,M,5.5149354442363085,4.5500008476156575,-0.9649345966206507
cancer,45-54,F,3.432116978348592,7.211053786396252,3.7789368080476593
noncancer,45-54,F,9.752538811719388,10.83901192504259,1.086473113323201
cancer,45-54,M,3.6092070745536096,6.4216063638696435,2.812399289316034
noncancer,45-54,M,6.399166955918084,6.566732887845404,0.1675659319273201
cancer,55-64,F,3.38519659989064,6.303061487007976,2.917864887117336
noncancer,55-64,F,9.614251798432731,12.02781611636055,2.4135643179278174
cancer,55-64,M,3.526303933815248,5.815430815430815,2.289126881615567
noncancer,55-64,M,6.590621039290241,8.0966544548829,1.5060334155926585
cancer,65-74,F,3.1890727793020033,5.351313682099936,2.162240902797932
noncancer,65-74,F,8.677609596107356,11.624844143857244,2.9472345477498885
cancer,65-74,M,3.3237130961392887,5.4737962972264365,2.1500832010871473
noncancer,65-74,M,6.883011691787575,9.175009262477609,2.2919975706900324
cancer,75-84,F,2.7718440355166645,3.9062133645955455,1.1343693290788808
noncancer,75-84,F,7.274838340895287,9.00154934751705,1.726711006621763
cancer,75-84,M,2.9226428403479896,4.789451210833453,1.8668083704854626
noncancer,75-84,M,6.778554960728381,8.642838095062944,1.864283134334563
cancer,85+,F,2.3395250411474255,2.464540976928489,0.12501593578106396
noncancer,85+,F,5.76873243873564,5.373867649316751,-0.39486478941888825
cancer,85+,M,2.6967122275581823,3.4584238973629033,0.761711669804721
noncancer,85+,M,5.93391735444072,6.651052159731114,0.7171348052903932
