"Notes","Year","Year Code","Sex","Sex Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Crude Rate Standard Error,% of Total Deaths
,"1999","1999","Female","F",508,48114203,1.1,1.0,1.1,0.0,2.3%
,"1999","1999","Male","M",730,50517196,1.4,1.3,1.5,0.1,3.4%
"Total","1999","1999",,,1238,98631399,1.3,1.2,1.3,0.0,5.7%
,"2000","2000","Female","F",500,48504241,1.0,0.9,1.1,0.0,2.3%
,"2000","2000","Male","M",775,50933025,1.5,1.4,1.6,0.1,3.6%
"Total","2000","2000",,,1275,99437266,1.3,1.2,1.4,0.0,5.9%
,"2001","2001","Female","F",519,49093055,1.1,1.0,1.1,0.0,2.4%
,"2001","2001","Male","M",737,51570772,1.4,1.3,1.5,0.1,3.4%
"Total","2001","2001",,,1256,100663827,1.2,1.2,1.3,0.0,5.8%
,"2002","2002","Female","F",517,49466931,1.0,1.0,1.1,0.0,2.4%
,"2002","2002","Male","M",712,51950234,1.4,1.3,1.5,0.1,3.3%
"Total","2002","2002",,,1229,101417165,1.2,1.1,1.3,0.0,5.7%
,"2003","2003","Female","F",479,49785739,1.0,0.9,1.0,0.0,2.2%
,"2003","2003","Male","M",690,52231765,1.3,1.2,1.4,0.1,3.2%
"Total","2003","2003",,,1169,102017504,1.1,1.1,1.2,0.0,5.4%
,"2004","2004","Female","F",456,50055762,0.9,0.8,1.0,0.0,2.1%
,"2004","2004","Male","M",695,52544152,1.3,1.2,1.4,0.1,3.2%
"Total","2004","2004",,,1151,102599914,1.1,1.1,1.2,0.0,5.3%
,"2005","2005","Female","F",429,50221682,0.9,0.8,0.9,0.0,2.0%
,"2005","2005","Male","M",713,52743533,1.4,1.3,1.5,0.1,3.3%
"Total","2005","2005",,,1142,102965215,1.1,1.0,1.2,0.0,5.3%
,"2006","2006","Female","F",423,50404205,0.8,0.8,0.9,0.0,1.9%
,"2006","2006","Male","M",701,52956348,1.3,1.2,1.4,0.0,3.2%
"Total","2006","2006",,,1124,103360553,1.1,1.0,1.2,0.0,5.2%
,"2007","2007","Female","F",461,50652523,0.9,0.8,1.0,0.0,2.1%
,"2007","2007","Male","M",658,53174907,1.2,1.1,1.3,0.0,3.0%
"Total","2007","2007",,,1119,103827430,1.1,1.0,1.1,0.0,5.1%
,"2008","2008","Female","F",415,50915859,0.8,0.7,0.9,0.0,1.9%
,"2008","2008","Male","M",621,53383017,1.2,1.1,1.3,0.0,2.9%
"Total","2008","2008",,,1036,104298876,1.0,0.9,1.1,0.0,4.8%
