"Notes","Sex","Sex Code","Year","Year Code","Ten-Year Age Groups","Ten-Year Age Groups Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Crude Rate Standard Error,% of Total Deaths
,"Female","F","2022","2022","25-34 years","25-34",98,22311738,0.4,0.4,0.5,0.0,0.1%
,"Female","F","2022","2022","35-44 years","35-44",343,21575176,1.6,1.4,1.8,0.1,0.2%
,"Female","F","2022","2022","45-54 years","45-54",1003,20152015,5.0,4.7,5.3,0.2,0.6%
,"Female","F","2022","2022","55-64 years","55-64",2535,21413534,11.8,11.4,12.3,0.2,1.6%
,"Female","F","2022","2022","65-74 years","65-74",3492,17877767,19.5,18.9,20.2,0.3,2.2%
,"Female","F","2022","2022","75-84 years","75-84",2448,9785700,25.0,24.0,26.0,0.5,1.6%
,"Female","F","2022","2022","85+ years","85+",1026,4202041,24.4,22.9,25.9,0.8,0.7%
,"Female","F","2022","2022","Not Stated","NS",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0%
"Total","Female","F","2022","2022",,,10964,168004004,6.5,6.4,6.6,0.1,7.0%
,"Female","F","2023","2023","< 1 year","1",Suppressed,1784146,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,"Female","F","2023","2023","1-4 years","1-4",Suppressed,7267615,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,"Female","F","2023","2023","5-14 years","5-14",Suppressed,20014683,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,"Female","F","2023","2023","15-24 years","15-24",12,21463206,0.1,0.0,0.1,0.0,0.0%
,"Female","F","2023","2023","25-34 years","25-34",102,22483329,0.5,0.4,0.5,0.0,0.1%
,"Female","F","2023","2023","35-44 years","35-44",379,22028457,1.7,1.5,1.9,0.1,0.2%
,"Female","F","2023","2023","45-54 years","45-54",1013,20306672,5.0,4.7,5.3,0.2,0.6%
,"Female","F","2023","2023","55-64 years","55-64",2621,21350566,12.3,11.8,12.7,0.2,1.7%
,"Female","F","2023","2023","65-74 years","65-74",3640,18350204,19.8,19.2,20.5,0.3,2.3%
,"Female","F","2023","2023","75-84 years","75-84",2605,10205598,25.5,24.5,26.5,0.5,1.7%
,"Female","F","2023","2023","85+ years","85+",1038,3911019,26.5,24.9,28.2,0.8,0.7%
,"Female","F","2023","2023","Not Stated","NS",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0%
"Total","Female","F","2023","2023",,,11420,169165495,6.8,6.6,6.9,0.1,7.3%
,"Female","F","2024 ","2024","< 1 year","1",0,1768890,0.0,0.0,0.0,0.0,0.0%
,"Female","F","2024 ","2024","1-4 years","1-4",Suppressed,7329381,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,"Female","F","2024 ","2024","5-14 years","5-14",Suppressed,20078036,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,"Female","F","2024 ","2024","15-24 years","15-24",17,21884177,0.1,0.0,0.1,0.0,0.0%
,"Female","F","2024 ","2024","25-34 years","25-34",138,22935413,0.6,0.5,0.7,0.1,0.1%
,"Female","F","2024 ","2024","35-44 years","35-44",407,22583276,1.8,1.6,2.0,0.1,0.3%
,"Female","F","2024 ","2024","45-54 years","45-54",1070,20457911,5.2,4.9,5.5,0.2,0.7%
,"Female","F","2024 ","2024","55-64 years","55-64",2601,21246717,12.2,11.8,12.7,0.2,1.7%
,"Female","F","2024 ","2024","65-74 years","65-74",3740,18745293,20.0,19.3,20.6,0.3,2.4%
,"Female","F","2024 ","2024","75-84 years","75-84",2675,10722882,24.9,24.0,25.9,0.5,1.7%
,"Female","F","2024 ","2024","85+ years","85+",1060,4021130,26.4,24.8,27.9,0.8,0.7%
,"Female","F","2024 ","2024","Not Stated","NS",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0%
"Total","Female","F","2024 ","2024",,,11713,171773106,6.8,6.7,6.9,0.1,7.5%
"Total","Female","F",,,,,72794,1176300483,6.2,6.1,6.2,0.0,46.6%
,"Male","M","2018","2018","< 1 year","1",Suppressed,1968505,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,"Male","M","2018","2018","1-4 years","1-4",Suppressed,8163697,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,"Male","M","2018","2018","5-14 years","5-14",Suppressed,20974830,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,"Male","M","2018","2018","15-24 years","15-24",18,21976455,0.1,0.0,0.1,0.0,0.0%
,"Male","M","2018","2018","25-34 years","25-34",69,23210709,0.3,0.2,0.4,0.0,0.0%
,"Male","M","2018","2018","35-44 years","35-44",179,20587600,0.9,0.7,1.0,0.1,0.1%
,"Male","M","2018","2018","45-54 years","45-54",802,20541202,3.9,3.6,4.2,0.1,0.5%
,"Male","M","2018","2018","55-64 years","55-64",2487,20398863,12.2,11.7,12.7,0.2,1.6%
,"Male","M","2018","2018","65-74 years","65-74",3426,14246085,24.0,23.2,24.9,0.4,2.2%
,"Male","M","2018","2018","75-84 years","75-84",2663,6735040,39.5,38.0,41.0,0.8,1.7%
,"Male","M","2018","2018","85+ years","85+",1207,2325693,51.9,49.0,54.8,1.5,0.8%
,"Male","M","2018","2018","Not Stated","NS",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Suppressed
"Total","Male","M","2018","2018",,,10860,161128679,6.7,6.6,6.9,0.1,7.0%
,"Male","M","2019","2019","< 1 year","1",Suppressed,1935117,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,"Male","M","2019","2019","1-4 years","1-4",Suppressed,8074090,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,"Male","M","2019","2019","5-14 years","5-14",Suppressed,20941023,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
