analysis,grouped_n,interaction_chi2,df,p_value,pearson_dispersion,differential_change_pp,lcl,ucl
Primary 1999-2024,936,525.1284420922291,4,2.4586352772008007e-112,14.40200627148642,0.6124898462024853,0.3948868610040501,0.8300928314009203
Pre-pandemic 1999-2019,756,220.08135469743954,4,1.8006244578896496e-46,10.081003221495015,0.003978411609490556,-0.19529717061096313,0.20325399382994425
Exclude 2020,900,543.1396165467794,4,3.1203877481889887e-116,13.310103566220674,0.6053121058320988,0.39620157860423727,0.8144226330599604
Exclude 2020-2022,828,538.7841231131008,4,2.7321726177081176e-115,11.084885589711687,0.6836071632054543,0.476590940531248,0.8906233858796606
Full period + 2020-2022 indicator,936,425.1463606809825,4,1.0237348606785953e-90,14.363218073676347,0.6707849561406086,0.43849544825497916,0.9030744640262381
