"Notes","Sex","Sex Code","Year","Year Code","Ten-Year Age Groups","Ten-Year Age Groups Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Crude Rate Standard Error,% of Total Deaths
,"Female","F","2022","2022","Not Stated","NS",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Suppressed
,"Female","F","2023","2023","< 1 year","1",13,1784146,0.7,0.4,1.2,0.2,0.0%
,"Female","F","2023","2023","1-4 years","1-4",74,7267615,1.0,0.8,1.3,0.1,0.0%
,"Female","F","2023","2023","5-14 years","5-14",340,20014683,1.7,1.5,1.9,0.1,0.0%
,"Female","F","2023","2023","15-24 years","15-24",459,21463206,2.1,1.9,2.3,0.1,0.0%
,"Female","F","2023","2023","25-34 years","25-34",1549,22483329,6.9,6.5,7.2,0.2,0.0%
,"Female","F","2023","2023","35-44 years","35-44",6026,22028457,27.4,26.7,28.0,0.4,0.2%
,"Female","F","2023","2023","45-54 years","45-54",16297,20306672,80.3,79.0,81.5,0.6,0.4%
,"Female","F","2023","2023","55-64 years","55-64",45195,21350566,211.7,209.7,213.6,1.0,1.2%
,"Female","F","2023","2023","65-74 years","65-74",75965,18350204,414.0,411.0,416.9,1.5,2.0%
,"Female","F","2023","2023","75-84 years","75-84",74788,10205598,732.8,727.6,738.1,2.7,1.9%
,"Female","F","2023","2023","85+ years","85+",46533,3911019,1189.8,1179.0,1200.6,5.5,1.2%
,"Female","F","2023","2023","Not Stated","NS",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Suppressed
,"Female","F","2024 ","2024","< 1 year","1",12,1768890,0.7,0.4,1.2,0.2,0.0%
,"Female","F","2024 ","2024","1-4 years","1-4",88,7329381,1.2,1.0,1.5,0.1,0.0%
,"Female","F","2024 ","2024","5-14 years","5-14",299,20078036,1.5,1.3,1.7,0.1,0.0%
,"Female","F","2024 ","2024","15-24 years","15-24",433,21884177,2.0,1.8,2.2,0.1,0.0%
,"Female","F","2024 ","2024","25-34 years","25-34",1676,22935413,7.3,7.0,7.7,0.2,0.0%
,"Female","F","2024 ","2024","35-44 years","35-44",6123,22583276,27.1,26.4,27.8,0.3,0.2%
,"Female","F","2024 ","2024","45-54 years","45-54",16071,20457911,78.6,77.3,79.8,0.6,0.4%
,"Female","F","2024 ","2024","55-64 years","55-64",44331,21246717,208.6,206.7,210.6,1.0,1.2%
,"Female","F","2024 ","2024","65-74 years","65-74",76507,18745293,408.1,405.2,411.0,1.5,2.0%
