"Notes","Year","Year Code","Sex","Sex Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Crude Rate Standard Error,% of Total Deaths
,"1999","1999","Female","F",98,48114203,0.2,0.2,0.2,0.0,2.4%
,"1999","1999","Male","M",147,50517196,0.3,0.2,0.3,0.0,3.6%
"Total","1999","1999",,,245,98631399,0.2,0.2,0.3,0.0,6.0%
,"2000","2000","Female","F",110,48504241,0.2,0.2,0.3,0.0,2.7%
,"2000","2000","Male","M",118,50933025,0.2,0.2,0.3,0.0,2.9%
"Total","2000","2000",,,228,99437266,0.2,0.2,0.3,0.0,5.6%
,"2001","2001","Female","F",92,49093055,0.2,0.2,0.2,0.0,2.3%
,"2001","2001","Male","M",118,51570772,0.2,0.2,0.3,0.0,2.9%
"Total","2001","2001",,,210,100663827,0.2,0.2,0.2,0.0,5.2%
,"2002","2002","Female","F",93,49466931,0.2,0.2,0.2,0.0,2.3%
,"2002","2002","Male","M",129,51950234,0.2,0.2,0.3,0.0,3.2%
"Total","2002","2002",,,222,101417165,0.2,0.2,0.2,0.0,5.5%
,"2003","2003","Female","F",91,49785739,0.2,0.1,0.2,0.0,2.2%
,"2003","2003","Male","M",104,52231765,0.2,0.2,0.2,0.0,2.6%
"Total","2003","2003",,,195,102017504,0.2,0.2,0.2,0.0,4.8%
,"2004","2004","Female","F",93,50055762,0.2,0.1,0.2,0.0,2.3%
,"2004","2004","Male","M",131,52544152,0.2,0.2,0.3,0.0,3.2%
"Total","2004","2004",,,224,102599914,0.2,0.2,0.2,0.0,5.5%
,"2005","2005","Female","F",93,50221682,0.2,0.1,0.2,0.0,2.3%
,"2005","2005","Male","M",135,52743533,0.3,0.2,0.3,0.0,3.3%
"Total","2005","2005",,,228,102965215,0.2,0.2,0.3,0.0,5.6%
,"2006","2006","Female","F",90,50404205,0.2,0.1,0.2,0.0,2.2%
,"2006","2006","Male","M",142,52956348,0.3,0.2,0.3,0.0,3.5%
"Total","2006","2006",,,232,103360553,0.2,0.2,0.3,0.0,5.7%
,"2007","2007","Female","F",83,50652523,0.2,0.1,0.2,0.0,2.0%
,"2007","2007","Male","M",108,53174907,0.2,0.2,0.2,0.0,2.7%
"Total","2007","2007",,,191,103827430,0.2,0.2,0.2,0.0,4.7%
,"2008","2008","Female","F",75,50915859,0.1,0.1,0.2,0.0,1.8%
,"2008","2008","Male","M",125,53383017,0.2,0.2,0.3,0.0,3.1%
"Total","2008","2008",,,200,104298876,0.2,0.2,0.2,0.0,4.9%
,"2009","2009","Female","F",79,51129889,0.2,0.1,0.2,0.0,1.9%
,"2009","2009","Male","M",90,53534624,0.2,0.1,0.2,0.0,2.2%
"Total","2009","2009",,,169,104664513,0.2,0.1,0.2,0.0,4.2%
,"2010","2010","Female","F",91,51246786,0.2,0.1,0.2,0.0,2.2%
,"2010","2010","Male","M",119,53606769,0.2,0.2,0.3,0.0,2.9%
"Total","2010","2010",,,210,104853555,0.2,0.2,0.2,0.0,5.2%
,"2011","2011","Female","F",79,51296618,0.2,0.1,0.2,0.0,1.9%
,"2011","2011","Male","M",93,53702363,0.2,0.1,0.2,0.0,2.3%
"Total","2011","2011",,,172,104998981,0.2,0.1,0.2,0.0,4.2%
,"2012","2012","Female","F",70,51333144,0.1,0.1,0.2,0.0,1.7%
,"2012","2012","Male","M",102,53754859,0.2,0.2,0.2,0.0,2.5%
"Total","2012","2012",,,172,105088003,0.2,0.1,0.2,0.0,4.2%
,"2013","2013","Female","F",66,51304455,0.1,0.1,0.2,0.0,1.6%
,"2013","2013","Male","M",82,53739070,0.2,0.1,0.2,0.0,2.0%
"Total","2013","2013",,,148,105043525,0.1,0.1,0.2,0.0,3.6%
,"2014","2014","Female","F",60,51338950,0.1,0.1,0.2,0.0,1.5%
,"2014","2014","Male","M",92,53708826,0.2,0.1,0.2,0.0,2.3%
"Total","2014","2014",,,152,105047776,0.1,0.1,0.2,0.0,3.7%
,"2015","2015","Female","F",71,51242161,0.1,0.1,0.2,0.0,1.7%
,"2015","2015","Male","M",87,53622842,0.2,0.1,0.2,0.0,2.1%
"Total","2015","2015",,,158,104865003,0.2,0.1,0.2,0.0,3.9%
,"2016","2016","Female","F",79,51057677,0.2,0.1,0.2,0.0,1.9%
,"2016","2016","Male","M",105,53428419,0.2,0.2,0.2,0.0,2.6%
"Total","2016","2016",,,184,104486096,0.2,0.2,0.2,0.0,4.5%
,"2017","2017","Female","F",61,50953033,0.1,0.1,0.2,0.0,1.5%
,"2017","2017","Male","M",86,53318814,0.2,0.1,0.2,0.0,2.1%
"Total","2017","2017",,,147,104271847,0.1,0.1,0.2,0.0,3.6%
,"2018","2018","Female","F",77,50772757,0.2,0.1,0.2,0.0,1.9%
,"2018","2018","Male","M",70,53083487,0.1,0.1,0.2,0.0,1.7%
"Total","2018","2018",,,147,103856244,0.1,0.1,0.2,0.0,3.6%
