group,p1999,p2024,absolute_change,change_lcl,change_ucl,relative_change,relative_lcl,relative_ucl
cancer,0.03212030897066152,0.046940734027216435,0.014820425056554919,0.013988522380096576,0.015652327733013262,0.4614035646447796,0.42981667983768923,0.49368825309753017
noncancer,0.06747455608825062,0.07893509013391038,0.011460534045659762,0.010955488504192864,0.01196557958712666,0.16984971387837544,0.16167621321549697,0.17808072291779298
