group,year,proportion,se
solid,1999,0.02373063837962573,0.00026080265730724626
solid,2024,0.04086823010550225,0.00029874717038813354
hematologic,1999,0.09239123728142407,0.0012475872820845242
hematologic,2024,0.1019936701056895,0.0013786712587921877
