"Notes","Year","Year Code","Sex","Sex Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Crude Rate Standard Error,% of Total Deaths
,"1999","1999","Female","F",671,29254019,2.3,2.1,2.5,0.1,2.7%
,"1999","1999","Male","M",842,30701349,2.7,2.6,2.9,0.1,3.4%
"Total","1999","1999",,,1513,59955368,2.5,2.4,2.7,0.1,6.0%
,"2000","2000","Female","F",626,29399168,2.1,2.0,2.3,0.1,2.5%
,"2000","2000","Male","M",733,30854207,2.4,2.2,2.5,0.1,2.9%
"Total","2000","2000",,,1359,60253375,2.3,2.1,2.4,0.1,5.4%
,"2001","2001","Female","F",664,29507208,2.3,2.1,2.4,0.1,2.6%
,"2001","2001","Male","M",768,30943049,2.5,2.3,2.7,0.1,3.1%
"Total","2001","2001",,,1432,60450257,2.4,2.2,2.5,0.1,5.7%
,"2002","2002","Female","F",663,29568807,2.2,2.1,2.4,0.1,2.6%
,"2002","2002","Male","M",768,30994223,2.5,2.3,2.7,0.1,3.1%
"Total","2002","2002",,,1431,60563030,2.4,2.2,2.5,0.1,5.7%
,"2003","2003","Female","F",642,29605449,2.2,2.0,2.3,0.1,2.6%
,"2003","2003","Male","M",768,31023201,2.5,2.3,2.7,0.1,3.1%
"Total","2003","2003",,,1410,60628650,2.3,2.2,2.4,0.1,5.6%
,"2004","2004","Female","F",609,29622328,2.1,1.9,2.2,0.1,2.4%
,"2004","2004","Male","M",781,31029474,2.5,2.3,2.7,0.1,3.1%
"Total","2004","2004",,,1390,60651802,2.3,2.2,2.4,0.1,5.5%
,"2005","2005","Female","F",630,29564087,2.1,2.0,2.3,0.1,2.5%
,"2005","2005","Male","M",853,30954959,2.8,2.6,2.9,0.1,3.4%
"Total","2005","2005",,,1483,60519046,2.5,2.3,2.6,0.1,5.9%
,"2006","2006","Female","F",601,29568128,2.0,1.9,2.2,0.1,2.4%
,"2006","2006","Male","M",753,30948581,2.4,2.3,2.6,0.1,3.0%
"Total","2006","2006",,,1354,60516709,2.2,2.1,2.4,0.1,5.4%
,"2007","2007","Female","F",613,29651034,2.1,1.9,2.2,0.1,2.4%
,"2007","2007","Male","M",788,31030581,2.5,2.4,2.7,0.1,3.1%
"Total","2007","2007",,,1401,60681615,2.3,2.2,2.4,0.1,5.6%
,"2008","2008","Female","F",651,29771145,2.2,2.0,2.4,0.1,2.6%
,"2008","2008","Male","M",699,31136239,2.2,2.1,2.4,0.1,2.8%
"Total","2008","2008",,,1350,60907384,2.2,2.1,2.3,0.1,5.4%
,"2009","2009","Female","F",540,29865905,1.8,1.7,2.0,0.1,2.2%
,"2009","2009","Male","M",602,31221676,1.9,1.8,2.1,0.1,2.4%
"Total","2009","2009",,,1142,61087581,1.9,1.8,2.0,0.1,4.6%
,"2010","2010","Female","F",514,29938286,1.7,1.6,1.9,0.1,2.1%
,"2010","2010","Male","M",589,31288927,1.9,1.7,2.0,0.1,2.3%
"Total","2010","2010",,,1103,61227213,1.8,1.7,1.9,0.1,4.4%
,"2011","2011","Female","F",480,29930389,1.6,1.5,1.7,0.1,1.9%
,"2011","2011","Male","M",504,31270717,1.6,1.5,1.8,0.1,2.0%
"Total","2011","2011",,,984,61201106,1.6,1.5,1.7,0.1,3.9%
,"2012","2012","Female","F",410,29901556,1.4,1.2,1.5,0.1,1.6%
,"2012","2012","Male","M",510,31242542,1.6,1.5,1.8,0.1,2.0%
"Total","2012","2012",,,920,61144098,1.5,1.4,1.6,0.0,3.7%
,"2013","2013","Female","F",390,29875208,1.3,1.2,1.4,0.1,1.6%
,"2013","2013","Male","M",469,31213915,1.5,1.4,1.6,0.1,1.9%
"Total","2013","2013",,,859,61089123,1.4,1.3,1.5,0.0,3.4%
,"2014","2014","Female","F",379,29882579,1.3,1.1,1.4,0.1,1.5%
,"2014","2014","Male","M",446,31185376,1.4,1.3,1.6,0.1,1.8%
"Total","2014","2014",,,825,61067955,1.4,1.3,1.4,0.0,3.3%
,"2015","2015","Female","F",449,29859666,1.5,1.4,1.6,0.1,1.8%
,"2015","2015","Male","M",471,31157121,1.5,1.4,1.6,0.1,1.9%
"Total","2015","2015",,,920,61016787,1.5,1.4,1.6,0.0,3.7%
,"2016","2016","Female","F",481,29839561,1.6,1.5,1.8,0.1,1.9%
,"2016","2016","Male","M",536,31135508,1.7,1.6,1.9,0.1,2.1%
"Total","2016","2016",,,1017,60975069,1.7,1.6,1.8,0.1,4.1%
,"2017","2017","Female","F",399,29852371,1.3,1.2,1.5,0.1,1.6%
,"2017","2017","Male","M",471,31169181,1.5,1.4,1.6,0.1,1.9%
"Total","2017","2017",,,870,61021552,1.4,1.3,1.5,0.0,3.5%
,"2018","2018","Female","F",402,29778412,1.3,1.2,1.5,0.1,1.6%
,"2018","2018","Male","M",411,31107032,1.3,1.2,1.4,0.1,1.6%
"Total","2018","2018",,,813,60885444,1.3,1.2,1.4,0.0,3.2%
,"2019","2019","Female","F",410,29620616,1.4,1.3,1.5,0.1,1.6%
,"2019","2019","Male","M",366,30950230,1.2,1.1,1.3,0.1,1.5%
"Total","2019","2019",,,776,60570846,1.3,1.2,1.4,0.0,3.1%
