"Notes","Year","Year Code","Ten-Year Age Groups","Ten-Year Age Groups Code","Sex","Sex Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Crude Rate Standard Error,% of Total Deaths
,"2001","2001","25-34 years","25-34","Female","F",55,19567043,0.3,0.2,0.4,0.0,0.0%
,"2001","2001","25-34 years","25-34","Male","M",37,19904479,0.2,0.1,0.3,0.0,0.0%
,"2001","2001","35-44 years","35-44","Female","F",204,22642429,0.9,0.8,1.0,0.1,0.1%
,"2001","2001","35-44 years","35-44","Male","M",153,22409323,0.7,0.6,0.8,0.1,0.0%
,"2001","2001","45-54 years","45-54","Female","F",587,20047081,2.9,2.7,3.2,0.1,0.2%
,"2001","2001","45-54 years","45-54","Male","M",527,19339187,2.7,2.5,3.0,0.1,0.2%
,"2001","2001","55-64 years","55-64","Female","F",950,13043566,7.3,6.8,7.7,0.2,0.3%
,"2001","2001","55-64 years","55-64","Male","M",1117,12061729,9.3,8.7,9.8,0.3,0.3%
,"2001","2001","65-74 years","65-74","Female","F",1406,10043126,14.0,13.3,14.7,0.4,0.4%
,"2001","2001","65-74 years","65-74","Male","M",1787,8341053,21.4,20.4,22.4,0.5,0.5%
,"2001","2001","75-84 years","75-84","Female","F",1448,7589733,19.1,18.1,20.1,0.5,0.4%
,"2001","2001","75-84 years","75-84","Male","M",1764,5003885,35.3,33.6,36.9,0.8,0.5%
,"2001","2001","85+ years","85+","Female","F",749,3051430,24.5,22.8,26.3,0.9,0.2%
,"2001","2001","85+ years","85+","Male","M",659,1261064,52.3,48.3,56.2,2.0,0.2%
,"2001","2001","Not Stated","NS","Female","F",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0%
,"2001","2001","Not Stated","NS","Male","M",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.0%
,"2002","2002","< 1 year","1","Female","F",0,1932939,Unreliable,0.0,0.0,0.0,0.0%
,"2002","2002","< 1 year","1","Male","M",Suppressed,2018522,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,"2002","2002","1-4 years","1-4","Female","F",Suppressed,7564711,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,"2002","2002","1-4 years","1-4","Male","M",Suppressed,7913020,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,"2002","2002","5-14 years","5-14","Female","F",Suppressed,20071157,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
,"2002","2002","5-14 years","5-14","Male","M",10,21062681,Unreliable,0.0,0.1,0.0,0.0%
,"2002","2002","15-24 years","15-24","Female","F",13,19898124,Unreliable,0.0,0.1,0.0,0.0%
,"2002","2002","15-24 years","15-24","Male","M",22,20956011,0.1,0.1,0.2,0.0,0.0%
,"2002","2002","25-34 years","25-34","Female","F",54,19518779,0.3,0.2,0.4,0.0,0.0%
,"2002","2002","25-34 years","25-34","Male","M",39,19830867,0.2,0.1,0.3,0.0,0.0%
,"2002","2002","35-44 years","35-44","Female","F",195,22439455,0.9,0.7,1.0,0.1,0.1%
,"2002","2002","35-44 years","35-44","Male","M",140,22201194,0.6,0.5,0.7,0.1,0.0%
,"2002","2002","45-54 years","45-54","Female","F",589,20357603,2.9,2.7,3.1,0.1,0.2%
